id,map_id,summary_polyline,start_latlng,end_latlng,location_city,date
19979017612,a19979017612,ipqlH{fePJA@^ELCVEFk@jAIh@SPQFQPw@jA]XOP{@pAEV@RbCtElAjBv@~@z@bB~@tAR`@r@hAdAtBTTLTf@n@RZ\fA^z@Zd@bAtBVZH@PQJQ`@gAXk@Z_ALk@Ta@Lg@`@c@ZUZ]ZS^c@NUJ]L_C?UMSOMQIyAqAs@e@a@cAOIc@a@o@gAeAmAM]s@g@KMOWeBoBe@u@uBoCUc@w@eAk@k@,"[('root', [49.410779, 2.817264])]","[('root', [49.410603, 2.817036])]",,2026-08-31
19959662058,a19959662058,ipqlH_wdPb@|@Vp@~@tBPXh@fBNPf@bARVb@`AFRTZP\FTJTJDn@y@XWLQd@aAh@o@x@sAj@w@FU?[CKKI_@o@]]MI][KWo@eAGMe@g@a@o@AUVq@De@JKf@mAt@cAJSLMn@_B\o@fA}APa@TWJa@h@aA@IEE_@IYOSGe@UOCQ?GGAGECYGc@WKAYMQM]G_@SMAGKu@YKMWKe@?IQSIIOSEMI_@MGE[COKQCo@c@wBy@a@[Q?oAo@[IQQOEMKAECC[GIGIQIEQGWAMNUd@I\@NPh@Lh@JVN`@N^T`@J^R^JXFLJXHNPp@PV\r@Xb@,"[('root', [49.410721, 2.816973])]","[('root', [49.410782, 2.816864])]",,2026-08-30
19947595873,a19947595873,uoqlHeeePY^Q`@UVGDI?Y`@WPSv@CXDJd@r@L\HFDHH`@BVj@dAFTVRLd@b@dA~@bBRn@Hf@VX^`ARRR^VZhAhCFBPOX[l@g@Tq@JQDOHIFORORg@h@w@Xi@LOBIIc@e@m@Oa@KGI]KSICUWkA}AYWICa@c@CG?Gh@aAVk@NSx@gBVYPWJUHKDKH]V[d@eAbAuAVq@BCNEHI?MXs@@IMIu@[KAGISEOIKC_@a@[AIKa@MAESOSDSEMKQEe@i@]ESKMO_@MEDYr@o@lAQr@S\I^SXMb@IJM`@QV_@dASVO^IPEXKNE@,"[('root', [49.410675, 2.816995])]","[('root', [49.410985, 2.816641])]",,2026-08-29
19925173771,a19925173771,soqlHaeeP[d@YNQXKFQHQVS`@ERA\BPFVd@x@XdA^j@DNABPj@RXDBNf@Th@n@pAV\Vl@Nh@NR\p@BRRTV^xAbDHHLATQDUDGl@c@DWFETe@^]Re@JGJQH]\c@JGHYJG@EGY_AuAS_AIGI@YQq@cAM_@_@a@MI]]AKNo@\o@d@k@l@oAb@q@Pa@TURk@PY^}@NQL[Z_@L[PIBSp@oABG?KCEa@QII_@Mo@Yg@]_AQ_@W[IUQq@WOK_@KWSUMG@ONIAEGIUYWS?UQ[G]M[Mw@a@]ISMG?k@WUMKMYO]QwAi@]Qk@a@WI[CQII@MNO^SREJ?JHRLx@Vh@\~@r@bAh@fA\~@N|@J\LRN\Zj@HHJ?HHf@jAd@h@Vp@,"[('root', [49.410665, 2.816972])]","[('root', [49.410707, 2.817384])]",,2026-08-27
19912763675,a19912763675,wuqlHypePWq@U]]qAg@gAIk@GUg@w@Ui@SUg@aAWYc@q@Qq@Os@Qa@Mk@GG]Om@w@Sc@IYOUEWOQCO_@i@qAgCK_@UgASk@GMi@qCGYMQIc@Yi@SWk@kAASKUOsAg@uBi@eAQWQSQe@IMW[Ia@EMSUSm@MOs@iAGUAQPc@LMXU|@qAl@s@l@}@`@e@rAyBd@k@f@u@x@{@x@qAtAcBb@s@NQZi@NOzAcCpAaBRYLMZk@Z[bB_C~@gA^m@d@k@fD{E`@o@h@k@jByC`EkFRU`@WLQJSt@{@f@s@XY^k@p@_AhAgB`@e@jBgCb@e@d@s@LMJED?NLHV@pACbB@h@e@vNCzAKpCC`BIpACrA@f@N`AZf@VX@HSdAAP@\DHPBHFAf@C^UnAClCKn@GHGn@]hDA\I`AM`Bc@lB?ZB^OrBIh@Q\Gf@B`AKt@ElAQdA?b@Eb@Cx@g@~DW~DUxACjAJf@?ZUx@OdBWxBQrBQrACh@IXQVMnBIl@E`A_@fAEb@Et@ERWx@]v@Ol@_AlCAp@GJWREHUl@e@t@Qh@,"[('root', [49.410769, 2.817586])]","[('root', [49.409687, 2.818844])]",,2026-08-26
19905007314,a19905007314,ksqlHi~ePYG[UYMI?UKKIG@KGKAAGIEO@WY]KGIODOPGHMd@?FJXVZFVNVPt@F?BD^dBL\T^FTDn@FHF\Rb@Hl@V\JJ`@`ATTRr@ZVFE^aAPWTk@V_@?CTg@n@oA^k@Vm@r@qABOACSWUIG@_@Eo@MQIQACQECWEMIIAy@a@KCc@UEIUQ_@Oa@KSMSA[SGKWIWQOGUQICSHOTGJCV?RLb@Fn@XVAf@FPXh@RPRt@Zr@JNLh@R`@,"[('root', [49.410755, 2.818923])]","[('root', [49.411006, 2.817694])]",,2026-08-26
19889754490,a19889754490,wpqlHmjeP`@oAV]LMRq@`@c@b@eANORi@\i@N]RW?UIGe@IOCa@Bi@MKO_@IOOe@Q]]MEEKCSGEmAQe@Uu@[a@@KMUI[@EKMOIGGAOQGBYVGRGZBF`@hAT^RTPz@PTNj@HNJZJFDHNz@BBHBBDRt@FND@BPNLLd@PRJ^HNFRd@z@J`@Ze@Vo@H[NQf@eA^k@v@yAHGLYLOZs@,"[('root', [49.410843, 2.817832])]","[('root', [49.409657, 2.819865])]",,2026-08-25
19757606451,a19757606451,syasHshyRa@n@e@`Au@zBa@d@Qr@_@lA_@r@Qf@_@|AQbAAj@InA@b@XxBLh@Hx@HVNz@l@dCTh@FHHDP@NGRKTc@TSNWDAFH`@bAPt@b@rAj@nBLl@x@jC\r@X^`@^^r@lA|ATb@j@j@JDT@VGJItAaBlBq@N?\~@r@`ABb@Pt@FNNPTj@\l@z@hANZtAhBt@hARTB@HAdAuAbAgAz@yA`@cANm@FOJMH[Zw@F_@TeAt@{Bj@mArA}DhAqCXi@Le@@I?_@G_AOsAOa@Ge@B{@Mm@?SJaAl@yCFgAR}@D[AIQW]M}Cm@a@MWO_A_Ae@w@s@}@Ui@Wa@[YqA}BO[ME[VIBUMIKs@m@OSy@o@q@wAa@e@ISKGQEy@a@m@UKCM@UFk@HOCKGQ?OFm@Fc@P]FsANYAa@Fa@@WFi@@YDIJGd@Yx@Kj@WT_@z@IJMF,"[('root', [50.477229, 3.247625])]","[('root', [50.476635, 3.247417])]",,2026-08-15
19716920429,a19716920429,mabsHiwxRW~@QlAARMv@Ax@VxATzBLt@@rAd@pBH`AKt@o@jAc@l@s@vAWr@wA~Fq@rAm@~@[|@a@tA?FN`@d@z@Vp@@FIn@ELrB|Ka@cBUkA?QHc@Tk@D_@Im@c@}@Yg@o@{Ag@aAEe@?ORm@xCoFt@gDl@sBl@oA`@o@r@cBFe@As@Bo@m@mCeAkGEc@A_@Di@,"[('root', [50.477033, 3.247358])]","[('root', [50.477782, 3.246585])]",,2026-08-12
19685971178,a19685971178,kuasHilyRESE?GGO_@KOGFCVKLIXa@x@?DEDK`@Wj@G\Sb@i@vAOXAPELINKFq@fBIL_@z@U`@Wt@YtAI~@?n@Id@?r@bBvKLb@\t@HHPH^OF?JIFMPOJCHKBHDWJMBF@NNTRv@PhAV~@HXLXVz@FHHh@JTNl@Rr@\l@JJNXf@j@V`@Z\T`@JHFNJFNXDBf@t@h@ANORAHETWPIHOZMNQPGD@DAFEl@_@H?JIBAHLBj@HJ@LFP?FHZT|@LZLDDDH`@L^FBN`@LP\x@\\PXLHDPRXBLd@n@Xj@DDNENJJ?JHT]JENSLGf@c@DIXYX]\u@HKp@eBf@cBTi@F]XaAZ{@LULc@pA}CF[b@}@HYJMDSXk@`AcCHo@I_CKu@[aA?IDQHEPBPIRGD@LGD?VIRKXCJG`@KNSLCLKLa@PSLi@BAJWFGNk@P[Ts@NYDi@C_@BS?oA@KDEJYHCVJDAb@TF?j@NNLTBFCBEFURsAFOP}AHc@HSVgBBGRoADED]BIDq@FE@SXsAFo@La@AIJYPcADGHq@Nm@PwA?KFO?MLc@@ULk@?MGIM@KICKOCAGKGUWEAIOG?OOE?YYo@]e@g@oAaAo@a@?EGC[KYEMGQCSYECY@IEO@EC_@@MGK@GCO?SDYIM@WIKKQ[IW?KIUEE_@?EEKAGKKGc@_@YQ]cAAI[qAWo@YeAGMEQKOQ_A]}@?IOY?K_@cACSIOI]_@eAESEEK[e@eAu@gAKKWMMAE@GR?JNz@FtA?jEIrC_@lDAXUdCUpACFy@a@I?EEI?KI]GSGMKo@}@CKKKCKKKCIQE[Li@B,"[('root', [50.476817, 3.247569])]","[('root', [50.472752, 3.25464])]",,2026-08-10
